trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.4, 'e': 0.048606403378285604}",30,3,25.030428326216654,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.046887695219988486}",25,4,32.889387014303956,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.04522976007775692}",25,16,16.818668487980872,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.043630449035578674}",20,10,17.051841145457743,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.042087689162481054}",30,18,-22.319035840061883,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.04059948082572218}",30,17,-16.72798968139583,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.4, 'e': 0.039163895098987066}",25,15,18.60079309694148,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.03777907126222914}",20,3,26.588795339049085,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.03644321438991654}",20,3,-4.867620913886269,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.03515459302455746}",25,17,17.00777043307349,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.4, 'e': 0.033911536932488856}",20,6,19.558616047054,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.4, 'e': 0.03271243493901982}",30,13,33.0460338396977,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.4, 'e': 0.031555732840123626}",25,16,14.927152126626861,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.03043993138797188}",20,0,32.42031914280193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.4, 'e': 0.029363584347699322}",20,0,32.97291215586583,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.4, 'e': 0.02832529662288112}",20,10,18.5281324449025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.02732372244729256}",20,14,10.821754997304643,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.02635756364060769}",30,16,23.08596038528085,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.4, 'e': 0.025425567925775893}",25,13,23.19623217366835,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.024526527305895537}",20,15,9.851041265645383,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.023659276498480913}",20,8,17.729954719155913,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.4, 'e': 0.02282269142509298}",20,6,22.547742397984667,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.02201568775437645}",20,5,24.356905967711885,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.021237219496614494}",20,12,13.79590129321354,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.020486277647979705}",20,16,6.401851311792694,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.4, 'e': 0.01976188888272388}",30,17,30.888933440477057,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.4, 'e': 0.019063114291611626}",20,6,-20.998907855963708,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.4, 'e': 0.018389048164962556}",20,12,16.327002289212196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.4, 'e': 0.017738816818724773}",30,11,31.55018753249326,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.4, 'e': 0.017111577462058016}",30,21,17.910155111751624,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.4, 'e': 0.016506517104958845}",20,6,24.538770947162565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.4, 'e': 0.015922851504511698}",25,14,16.725870102608436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.4, 'e': 0.015359824148400343}",35,18,-10.89305232603975,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
